tweet_id,favorite_count,retweet_count,source
805823200554876929,0,9374,Twitter for iPhone
805520635690676224,6368,1905,Twitter for iPhone
805487436403003392,9773,2929,Twitter for iPhone
805207613751304193,8680,1972,Twitter for iPhone
804738756058218496,15326,4480,Twitter for iPhone
804475857670639616,6886,2355,Twitter for iPhone
804413760345620481,0,3712,Twitter for iPhone
804026241225523202,49774,18876,Twitter for iPhone
803773340896923648,11203,3220,Twitter for iPhone
803692223237865472,0,8689,Twitter for iPhone
803638050916102144,12270,4828,Twitter for iPhone
803380650405482500,8601,2169,Twitter for iPhone
803321560782307329,0,6221,Twitter for iPhone
803276597545603072,11207,2887,Twitter for iPhone
802952499103731712,10085,2336,Twitter for iPhone
802624713319034886,0,3403,Twitter for iPhone
802600418706604034,7938,1714,Vine - Make a Scene
802572683846291456,9959,2926,Twitter for iPhone
802323869084381190,18124,6808,Twitter for iPhone
802265048156610565,7039,1573,Twitter for iPhone
802247111496568832,0,5247,Twitter for iPhone
802239329049477120,10132,3040,Twitter for iPhone
802185808107208704,0,314,Twitter for iPhone
801958328846974976,8608,1992,Twitter for iPhone
801854953262350336,1958,275,Twitter for iPhone
801538201127157760,9141,2391,Twitter for iPhone
801285448605831168,6802,960,Twitter for iPhone
801167903437357056,27386,6961,Twitter for iPhone
801127390143516673,0,4627,Twitter for iPhone
801115127852503040,8992,2429,Twitter for iPhone
800859414831898624,778,113,Twitter for iPhone
800855607700029440,0,1889,Twitter for iPhone
800751577355128832,11701,3214,Twitter for iPhone
800513324630806528,14685,3495,Twitter for iPhone
800459316964663297,10538,2489,Twitter for iPhone
800443802682937345,0,5068,Twitter for iPhone
800388270626521089,12456,3265,Twitter for iPhone
800188575492947969,0,4581,Twitter for iPhone
800141422401830912,17092,2980,Twitter for iPhone
800018252395122689,31768,15351,Twitter for iPhone
799774291445383169,0,5488,Twitter for iPhone
799757965289017345,9390,2506,Twitter for iPhone
799422933579902976,8965,2213,Twitter for iPhone
799308762079035393,0,6478,Twitter for iPhone
799297110730567681,11065,3227,Twitter for iPhone
799063482566066176,9058,2863,Twitter for iPhone
798933969379225600,14712,5203,Twitter for iPhone
798925684722855936,8246,1663,Twitter for iPhone
798705661114773508,0,7724,Twitter for iPhone
798701998996647937,0,9126,Twitter for iPhone
798697898615730177,0,7602,Twitter for iPhone
798694562394996736,0,5812,Twitter for iPhone
798686750113755136,0,2702,Twitter for iPhone
798682547630837760,0,5515,Twitter for iPhone
798673117451325440,0,6485,Twitter for iPhone
798665375516884993,0,4519,Twitter for iPhone
798644042770751489,0,2153,Twitter for iPhone
798628517273620480,0,2272,Twitter for iPhone
798585098161549313,0,6618,Twitter for iPhone
798576900688019456,0,6871,Twitter for iPhone
798340744599797760,0,3924,Twitter for iPhone
798209839306514432,11548,2954,Twitter for iPhone
797971864723324932,13018,3652,Twitter for iPhone
797545162159308800,16198,5656,Twitter for iPhone
797236660651966464,22328,7726,Twitter for iPhone
797165961484890113,256,32,Twitter for iPhone
